Hero,Total Picks,Picks %,Win %,Total Bans,Bans %,Total Picks Bans,Picks Bans %,Event
Batrider,48,29.63%,45.83%,113,69.75%,161,99.38%,The International 2013
Outworld Devourer,32,19.75%,37.50%,120,74.07%,152,93.83%,The International 2013
Lifestealer,67,41.36%,56.72%,84,51.85%,151,93.21%,The International 2013
Visage,88,54.32%,55.68%,62,38.27%,150,92.59%,The International 2013
Chen,65,40.12%,63.08%,75,46.30%,140,86.42%,The International 2013
Io,27,16.67%,62.96%,107,66.05%,134,82.72%,The International 2013
Dark Seer,59,36.42%,52.54%,73,45.06%,132,81.48%,The International 2013
Alchemist,60,37.04%,46.67%,72,44.44%,132,81.48%,The International 2013
Weaver,75,46.30%,57.33%,47,29.01%,122,75.31%,The International 2013
Natures Prophet,69,42.59%,47.83%,41,25.31%,110,67.90%,The International 2013
Dragon Knight,57,35.19%,43.86%,50,30.86%,107,66.05%,The International 2013
Naga Siren,43,26.54%,55.81%,58,35.80%,101,62.35%,The International 2013
Gyrocopter,48,29.63%,56.25%,46,28.40%,94,58.02%,The International 2013
Rubick,69,42.59%,40.58%,23,14.20%,92,56.79%,The International 2013
Nyx Assassin,46,28.40%,52.17%,32,19.75%,78,48.15%,The International 2013
Puck,43,26.54%,58.14%,32,19.75%,75,46.30%,The International 2013
Razor,27,16.67%,48.15%,48,29.63%,75,46.30%,The International 2013
Shadow Demon,31,19.14%,45.16%,35,21.60%,66,40.74%,The International 2013
Enchantress,23,14.20%,30.43%,41,25.31%,64,39.51%,The International 2013
Lone Druid,22,13.58%,45.45%,39,24.07%,61,37.65%,The International 2013
Bane,46,28.40%,54.35%,13,8.02%,59,36.42%,The International 2013
Anti-Mage,16,9.88%,68.75%,34,20.99%,50,30.86%,The International 2013
Keeper of the Light,21,12.96%,66.67%,29,17.90%,50,30.86%,The International 2013
Beastmaster,32,19.75%,46.88%,14,8.64%,46,28.40%,The International 2013
Treant Protector,13,8.02%,46.15%,33,20.37%,46,28.40%,The International 2013
Bounty Hunter,20,12.35%,55.00%,24,14.81%,44,27.16%,The International 2013
Timbersaw,24,14.81%,45.83%,18,11.11%,42,25.93%,The International 2013
Queen of Pain,17,10.49%,41.18%,22,13.58%,39,24.07%,The International 2013
Enigma,20,12.35%,45.00%,18,11.11%,38,23.46%,The International 2013
Storm Spirit,18,11.11%,50.00%,19,11.73%,37,22.84%,The International 2013
Clockwerk,23,14.20%,47.83%,13,8.02%,36,22.22%,The International 2013
Shadow Fiend,22,13.58%,54.55%,13,8.02%,35,21.60%,The International 2013
