ban_rate,event,hero,no_bans,no_picks,no_picks_bans,pick_ban_rate,pick_rate,win_rate,attribute
58.33%,The Boston Major 2016,Batrider,49,26,75,89.29%,30.95%,57.69%,Intelligence
36.90%,The Boston Major 2016,Shadow Demon,31,33,64,76.19%,39.29%,51.52%,Intelligence
28.57%,The Boston Major 2016,Ogre Magi,24,40,64,76.19%,47.62%,42.50%,Intelligence
50.00%,The Boston Major 2016,Alchemist,42,18,60,71.43%,21.43%,77.78%,Strength
45.24%,The Boston Major 2016,Drow Ranger,38,19,57,67.86%,22.62%,52.63%,Agility
40.48%,The Boston Major 2016,Timbersaw,34,23,57,67.86%,27.38%,60.87%,Strength
41.67%,The Boston Major 2016,Outworld Devourer,35,19,54,64.29%,22.62%,63.16%,Intelligence
15.48%,The Boston Major 2016,Rubick,13,41,54,64.29%,48.81%,56.10%,Intelligence
35.71%,The Boston Major 2016,Slardar,30,22,52,61.90%,26.19%,59.09%,Strength
25.00%,The Boston Major 2016,Sand King,21,28,49,58.33%,33.33%,46.43%,Strength
27.38%,The Boston Major 2016,Juggernaut,23,24,47,55.95%,28.57%,45.83%,Agility
17.86%,The Boston Major 2016,Mirana,15,28,43,51.19%,33.33%,60.71%,Agility
10.71%,The Boston Major 2016,Luna,9,34,43,51.19%,40.48%,61.76%,Agility
32.14%,The Boston Major 2016,Dark Seer,27,16,43,51.19%,19.05%,43.75%,Intelligence
26.19%,The Boston Major 2016,Warlock,22,20,42,50.00%,23.81%,60.00%,Intelligence
21.43%,The Boston Major 2016,Lifestealer,18,22,40,47.62%,26.19%,45.45%,Strength
30.95%,The Boston Major 2016,Io,26,14,40,47.62%,16.67%,71.43%,Strength
21.43%,The Boston Major 2016,Nyx Assassin,18,20,38,45.24%,23.81%,55.00%,Agility
36.90%,The Boston Major 2016,Naga Siren,31,6,37,44.05%,7.14%,83.33%,Agility
27.38%,The Boston Major 2016,Sniper,23,11,34,40.48%,13.10%,36.36%,Agility
10.71%,The Boston Major 2016,Dragon Knight,9,19,28,33.33%,22.62%,52.63%,Strength
16.67%,The Boston Major 2016,Omniknight,14,14,28,33.33%,16.67%,64.29%,Strength
9.52%,The Boston Major 2016,Weaver,8,20,28,33.33%,23.81%,35.00%,Agility
9.52%,The Boston Major 2016,Clockwerk,8,18,26,30.95%,21.43%,38.89%,Strength
21.43%,The Boston Major 2016,Keeper of the Light,18,8,26,30.95%,9.52%,50.00%,Intelligence
16.67%,The Boston Major 2016,Ursa,14,10,24,28.57%,11.90%,20.00%,Agility
15.48%,The Boston Major 2016,Invoker,13,11,24,28.57%,13.10%,45.45%,Intelligence
14.29%,The Boston Major 2016,Slark,12,11,23,27.38%,13.10%,36.36%,Agility
15.48%,The Boston Major 2016,Bounty Hunter,13,9,22,26.19%,10.71%,55.56%,Agility
21.43%,The Boston Major 2016,Storm Spirit,18,3,21,25.00%,3.57%,33.33%,Intelligence
14.29%,The Boston Major 2016,Axe,12,7,19,22.62%,8.33%,71.43%,Strength
7.14%,The Boston Major 2016,Legion Commander,6,12,18,21.43%,14.29%,83.33%,Strength
8.33%,The Boston Major 2016,Undying,7,10,17,20.24%,11.90%,30.00%,Strength
8.33%,The Boston Major 2016,Morphling,7,9,16,19.05%,10.71%,66.67%,Agility
5.95%,The Boston Major 2016,Earth Spirit,5,11,16,19.05%,13.10%,45.45%,Strength
13.10%,The Boston Major 2016,Faceless Void,11,4,15,17.86%,4.76%,50.00%,Agility
4.76%,The Boston Major 2016,Disruptor,4,11,15,17.86%,13.10%,54.55%,Intelligence
8.33%,The Boston Major 2016,Puck,7,7,14,16.67%,8.33%,57.14%,Intelligence
11.90%,The Boston Major 2016,Chen,10,4,14,16.67%,4.76%,50.00%,Intelligence
8.33%,The Boston Major 2016,Silencer,7,6,13,15.48%,7.14%,50.00%,Intelligence
9.52%,The Boston Major 2016,Anti-Mage,8,4,12,14.29%,4.76%,25.00%,Agility
11.90%,The Boston Major 2016,Razor,10,2,12,14.29%,2.38%,0.00%,Agility
11.90%,The Boston Major 2016,Tinker,10,2,12,14.29%,2.38%,0.00%,Intelligence
4.76%,The Boston Major 2016,Phantom Assassin,4,8,12,14.29%,9.52%,50.00%,Agility
9.52%,The Boston Major 2016,Venomancer,8,3,11,13.10%,3.57%,33.33%,Agility
8.33%,The Boston Major 2016,Enigma,7,3,10,11.90%,3.57%,33.33%,Intelligence
7.14%,The Boston Major 2016,Pugna,6,4,10,11.90%,4.76%,50.00%,Intelligence
4.76%,The Boston Major 2016,Templar Assassin,4,6,10,11.90%,7.14%,66.67%,Agility
3.57%,The Boston Major 2016,Dazzle,3,7,10,11.90%,8.33%,57.14%,Intelligence
1.19%,The Boston Major 2016,Leshrac,1,9,10,11.90%,10.71%,33.33%,Intelligence
3.57%,The Boston Major 2016,Elder Titan,3,7,10,11.90%,8.33%,14.29%,Strength
3.57%,The Boston Major 2016,Sven,3,5,8,9.52%,5.95%,20.00%,Strength
2.38%,The Boston Major 2016,Witch Doctor,2,6,8,9.52%,7.14%,16.67%,Intelligence
3.57%,The Boston Major 2016,Beastmaster,3,5,8,9.52%,5.95%,20.00%,Strength
1.19%,The Boston Major 2016,Treant Protector,1,7,8,9.52%,8.33%,71.43%,Strength
3.57%,The Boston Major 2016,Medusa,3,4,7,8.33%,4.76%,25.00%,Agility
2.38%,The Boston Major 2016,Terrorblade,2,5,7,8.33%,5.95%,40.00%,Agility
2.38%,The Boston Major 2016,Pudge,2,4,6,7.14%,4.76%,25.00%,Strength
3.57%,The Boston Major 2016,Enchantress,3,3,6,7.14%,3.57%,33.33%,Intelligence
2.38%,The Boston Major 2016,Jakiro,2,4,6,7.14%,4.76%,25.00%,Intelligence
2.38%,The Boston Major 2016,Spirit Breaker,2,4,6,7.14%,4.76%,50.00%,Strength
0.00%,The Boston Major 2016,Oracle,0,6,6,7.14%,7.14%,33.33%,Intelligence
1.19%,The Boston Major 2016,Shadow Fiend,1,4,5,5.95%,4.76%,50.00%,Agility
1.19%,The Boston Major 2016,Vengeful Spirit,1,4,5,5.95%,4.76%,0.00%,Agility
3.57%,The Boston Major 2016,Riki,3,2,5,5.95%,2.38%,50.00%,Agility
0.00%,The Boston Major 2016,Earthshaker,0,4,4,4.76%,4.76%,100.00%,Strength
2.38%,The Boston Major 2016,Kunkka,2,2,4,4.76%,2.38%,50.00%,Strength
1.19%,The Boston Major 2016,Tidehunter,1,3,4,4.76%,3.57%,33.33%,Strength
1.19%,The Boston Major 2016,Ancient Apparition,1,3,4,4.76%,3.57%,33.33%,Intelligence
1.19%,The Boston Major 2016,Centaur Warrunner,1,3,4,4.76%,3.57%,33.33%,Strength
1.19%,The Boston Major 2016,Bristleback,1,3,4,4.76%,3.57%,0.00%,Strength
1.19%,The Boston Major 2016,Abaddon,1,3,4,4.76%,3.57%,33.33%,Strength
1.19%,The Boston Major 2016,Winter Wyvern,1,3,4,4.76%,3.57%,33.33%,Intelligence
0.00%,The Boston Major 2016,Windranger,0,3,3,3.57%,3.57%,33.33%,Intelligence
1.19%,The Boston Major 2016,Lion,1,2,3,3.57%,2.38%,50.00%,Intelligence
0.00%,The Boston Major 2016,Queen of Pain,0,3,3,3.57%,3.57%,33.33%,Intelligence
0.00%,The Boston Major 2016,Night Stalker,0,3,3,3.57%,3.57%,33.33%,Strength
1.19%,The Boston Major 2016,Magnus,1,2,3,3.57%,2.38%,50.00%,Strength
0.00%,The Boston Major 2016,Bane,0,2,2,2.38%,2.38%,50.00%,Intelligence
0.00%,The Boston Major 2016,Bloodseeker,0,2,2,2.38%,2.38%,50.00%,Agility
1.19%,The Boston Major 2016,Natures Prophet,1,1,2,2.38%,1.19%,0.00%,Intelligence
0.00%,The Boston Major 2016,Clinkz,0,2,2,2.38%,2.38%,50.00%,Agility
0.00%,The Boston Major 2016,Doom,0,2,2,2.38%,2.38%,0.00%,Strength
0.00%,The Boston Major 2016,Lycan,0,2,2,2.38%,2.38%,50.00%,Strength
0.00%,The Boston Major 2016,Brewmaster,0,2,2,2.38%,2.38%,50.00%,Strength
1.19%,The Boston Major 2016,Ember Spirit,1,1,2,2.38%,1.19%,100.00%,Agility
0.00%,The Boston Major 2016,Lina,0,1,1,1.19%,1.19%,100.00%,Intelligence
0.00%,The Boston Major 2016,Shadow Shaman,0,1,1,1.19%,1.19%,0.00%,Intelligence
1.19%,The Boston Major 2016,Death Prophet,1,0,1,1.19%,0.00%,0.00%,Intelligence
1.19%,The Boston Major 2016,Viper,1,0,1,1.19%,0.00%,0.00%,Agility
1.19%,The Boston Major 2016,Huskar,1,0,1,1.19%,0.00%,0.00%,Strength
1.19%,The Boston Major 2016,Meepo,1,0,1,1.19%,0.00%,0.00%,Agility
0.00%,The Boston Major 2016,Visage,0,1,1,1.19%,1.19%,0.00%,Intelligence
,The Boston Major 2016,Monkey King,,,,,,,Agility
,The Boston Major 2016,Underlord,,,,,,,Strength
,The Boston Major 2016,Arc Warden,,,,,,,Agility
